Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-07 00:00:00+05:30,3633.51833412739,3633.51833412739,3573.168123705777,3592.753173828125,103360,0.0,0.0
2023-11-08 00:00:00+05:30,3623.999982112006,3637.2561363241107,3585.228462475617,3591.25830078125,93643,0.0,0.0
2023-11-09 00:00:00+05:30,3606.059448080999,3622.953459017387,3563.201361771579,3585.3779296875,60709,0.0,0.0
2023-11-10 00:00:00+05:30,3565.166614032027,3607.086266268686,3549.5963600175533,3602.544921875,77028,5.0,0.0
2023-11-13 00:00:00+05:30,3632.787126925742,3681.942911251889,3615.0710828285014,3631.140380859375,145731,0.0,0.0
2023-11-15 00:00:00+05:30,3651.002157593385,3664.1768569396518,3633.03659202841,3638.6259765625,58681,0.0,0.0
2023-11-16 00:00:00+05:30,3651.900465082474,3661.7816726901256,3627.846714334673,3642.76806640625,95145,0.0,0.0
2023-11-17 00:00:00+05:30,3652.9483281774546,3652.9483281774546,3608.0843679660907,3613.124755859375,106571,0.0,0.0
2023-11-20 00:00:00+05:30,3617.017240618694,3637.62788283552,3578.241707883733,3599.900146484375,196698,0.0,0.0
2023-11-21 00:00:00+05:30,3616.0192324003065,3658.9869263006653,3605.1901347009207,3619.81201171875,79702,0.0,0.0
2023-11-22 00:00:00+05:30,3627.996344746715,3647.4590415301336,3594.0114331671048,3603.543212890625,73308,0.0,0.0
2023-11-23 00:00:00+05:30,3603.093919574559,3731.8471371992455,3603.093919574559,3701.00634765625,367164,0.0,0.0
2023-11-24 00:00:00+05:30,3704.898826267497,3737.286699653574,3694.9179565846644,3725.609130859375,157927,0.0,0.0
2023-11-28 00:00:00+05:30,3732.8453050746302,3736.2387033370846,3664.426393863212,3685.6357421875,187097,0.0,0.0
2023-11-29 00:00:00+05:30,3692.9219686023453,3716.6265352926985,3677.501572900602,3696.664794921875,348892,0.0,0.0
2023-11-30 00:00:00+05:30,3712.8335685366224,3712.8835216197467,3668.069514218014,3694.019775390625,109143,0.0,0.0
2023-12-01 00:00:00+05:30,3712.883684488538,3760.6422454802246,3703.45181096024,3722.7646484375,116640,0.0,0.0
2023-12-04 00:00:00+05:30,3758.795668512904,3761.789929534024,3725.0602789402324,3732.9453125,146820,0.0,0.0
2023-12-05 00:00:00+05:30,3737.8356936043942,3832.154912041141,3727.006352536671,3796.173828125,247849,0.0,0.0
2023-12-06 00:00:00+05:30,3817.682768643321,3827.6636386267023,3775.76311471312,3787.191162109375,130672,0.0,0.0
2023-12-07 00:00:00+05:30,3787.1910062404377,3811.2949524624105,3757.6477785096863,3788.63818359375,97569,0.0,0.0
2023-12-08 00:00:00+05:30,3812.692385372542,3820.577175296941,3747.8167296004963,3795.625,130517,0.0,0.0
2023-12-11 00:00:00+05:30,3792.730672746481,3804.857332559643,3758.5461923408056,3793.728759765625,57768,0.0,0.0
2023-12-12 00:00:00+05:30,3807.701828599986,3824.2701699369827,3742.427037579132,3762.18896484375,113701,0.0,0.0
2023-12-13 00:00:00+05:30,3767.7284552180054,3797.0224060076184,3717.57458369027,3782.60009765625,68326,0.0,0.0
